hand_p1,hand_p2,E[p1],E[p2],emp_p1,emp_p2,VAR[p1],VAR[p2]
"(('C', 4), ('S', 9), ('C', 10), ('S', 11))","(('D', 2), ('D', 4), ('S', 8), ('S', 10))",0.0,0.0,0.0094,-0.0103,0.3076923076923076,0.3076923076923076
"(('H', 3), ('S', 6), ('H', 9), ('C', 14))","(('H', 5), ('S', 5), ('C', 9), ('C', 10))",-0.7692307692307696,0.7692307692307696,-0.7699,0.7692,0.17751479289940836,0.17751479289940836
"(('D', 3), ('C', 10), ('H', 14), ('D', 14))","(('C', 3), ('H', 8), ('H', 12), ('S', 14))",0.8461538461538467,-0.8461538461538467,0.8491,-0.8464,0.13017751479289943,0.13017751479289943
"(('C', 3), ('H', 5), ('D', 7), ('C', 13))","(('H', 4), ('S', 6), ('S', 11), ('D', 11))",-0.6923076923076925,0.6923076923076925,-0.6914,0.6938,0.21301775147928978,0.21301775147928978
"(('C', 3), ('C', 10), ('C', 11), ('D', 13))","(('S', 5), ('S', 12), ('H', 14), ('D', 14))",-0.6923076923076925,0.6923076923076925,-0.6915,0.6865,0.21301775147928978,0.21301775147928978
"(('C', 2), ('C', 7), ('H', 9), ('S', 10))","(('C', 4), ('D', 10), ('C', 10), ('S', 11))",-0.7692307692307696,0.7692307692307696,-0.7659,0.7674,0.17751479289940844,0.17751479289940844
"(('S', 8), ('H', 11), ('S', 12), ('C', 12))","(('S', 6), ('H', 7), ('D', 8), ('H', 9))",0.46153846153846134,-0.46153846153846134,0.4738,-0.4549,0.5562130177514789,0.5562130177514789
"(('S', 4), ('H', 9), ('S', 9), ('H', 11))","(('H', 2), ('C', 6), ('H', 8), ('S', 13))",0.6923076923076925,-0.6923076923076925,0.6939,-0.6913,0.21301775147928978,0.21301775147928978
"(('D', 6), ('H', 9), ('S', 11), ('D', 12))","(('C', 2), ('D', 5), ('S', 7), ('C', 13))",0.0,0.0,0.0051,-0.0054,0.6153846153846154,0.6153846153846154
"(('H', 7), ('S', 10), ('D', 10), ('S', 12))","(('S', 3), ('C', 6), ('D', 7), ('H', 11))",0.7692307692307696,-0.7692307692307696,0.7604,-0.7699,0.1775147928994084,0.1775147928994084
"(('D', 3), ('S', 8), ('S', 9), ('H', 9))","(('D', 8), ('D', 9), ('C', 11), ('S', 14))",0.8461538461538467,-0.8461538461538467,0.8464,-0.8468,0.13017751479289943,0.13017751479289943
"(('C', 7), ('D', 9), ('S', 10), ('S', 14))","(('H', 6), ('C', 9), ('H', 11), ('H', 14))",0.0,0.0,-0.0035,0.003,0.3076923076923076,0.3076923076923076
"(('S', 2), ('S', 8), ('C', 9), ('S', 9))","(('C', 5), ('H', 5), ('C', 10), ('H', 14))",0.0,0.0,-0.0087,-0.0071,0.46153846153846134,0.46153846153846134
"(('S', 8), ('D', 10), ('S', 10), ('D', 13))","(('S', 6), ('C', 7), ('D', 9), ('S', 12))",0.6923076923076925,-0.6923076923076925,0.6784,-0.6898,0.2130177514792898,0.2130177514792898
"(('S', 2), ('D', 5), ('S', 5), ('D', 9))","(('C', 3), ('S', 8), ('H', 11), ('S', 13))",0.6923076923076925,-0.6923076923076925,0.6835,-0.6891,0.21301775147928978,0.21301775147928978
"(('D', 2), ('D', 3), ('D', 8), ('D', 13))","(('C', 6), ('H', 9), ('D', 10), ('C', 10))",-0.26923076923076916,0.26923076923076916,-0.2544,0.2702,0.6967455621301771,0.6967455621301771
"(('H', 2), ('H', 3), ('H', 5), ('D', 8))","(('C', 11), ('H', 11), ('H', 13), ('D', 14))",-0.6923076923076925,0.6923076923076925,-0.6953,0.6987,0.21301775147928978,0.21301775147928978
"(('C', 7), ('C', 9), ('H', 13), ('C', 14))","(('C', 8), ('D', 9), ('S', 9), ('D', 14))",-0.8461538461538467,0.8461538461538467,-0.8534,0.8436,0.13017751479289943,0.13017751479289943
"(('C', 4), ('S', 5), ('C', 6), ('D', 12))","(('D', 2), ('C', 7), ('D', 10), ('C', 10))",-0.6923076923076925,0.6923076923076925,-0.7011,0.695,0.21301775147928978,0.21301775147928978
"(('S', 3), ('H', 11), ('S', 12), ('S', 13))","(('C', 8), ('D', 11), ('C', 13), ('C', 14))",0.0,0.0,0.0002,-0.0074,0.3076923076923076,0.3076923076923076
"(('D', 8), ('H', 10), ('H', 12), ('H', 14))","(('H', 3), ('H', 7), ('S', 11), ('S', 14))",0.0,0.0,0.0024,-0.0022,0.46153846153846134,0.46153846153846134
"(('D', 6), ('C', 10), ('S', 10), ('D', 12))","(('C', 2), ('D', 4), ('C', 11), ('C', 14))",0.6923076923076925,-0.6923076923076925,0.6823,-0.6873,0.21301775147928978,0.21301775147928978
"(('H', 10), ('H', 12), ('H', 14), ('D', 14))","(('H', 2), ('S', 10), ('H', 11), ('S', 12))",0.8461538461538467,-0.8461538461538467,0.8467,-0.8512,0.13017751479289943,0.13017751479289943
"(('H', 4), ('D', 4), ('D', 7), ('S', 14))","(('S', 4), ('C', 6), ('H', 10), ('C', 12))",0.7692307692307696,-0.7692307692307696,0.7724,-0.7684,0.17751479289940839,0.17751479289940839
"(('C', 3), ('S', 5), ('S', 12), ('H', 12))","(('S', 6), ('C', 6), ('C', 10), ('S', 13))",0.0,0.0,-0.0028,0.0037,0.46153846153846134,0.46153846153846134
"(('D', 7), ('S', 7), ('D', 11), ('C', 14))","(('C', 4), ('H', 7), ('C', 9), ('H', 14))",0.8461538461538467,-0.8461538461538467,0.8489,-0.8504,0.13017751479289943,0.13017751479289943
"(('D', 3), ('S', 4), ('D', 5), ('D', 10))","(('S', 2), ('D', 6), ('H', 6), ('D', 11))",-0.6923076923076925,0.6923076923076925,-0.6999,0.6908,0.21301775147928978,0.21301775147928978
"(('S', 4), ('D', 5), ('H', 7), ('D', 12))","(('D', 10), ('S', 12), ('C', 13), ('D', 14))",-0.07692307692307693,0.07692307692307693,-0.0749,0.0804,0.5325443786982251,0.5325443786982251
"(('S', 3), ('D', 4), ('S', 9), ('C', 13))","(('S', 2), ('S', 7), ('C', 9), ('S', 12))",0.0,0.0,-0.0001,0.011,0.46153846153846134,0.46153846153846134
"(('D', 3), ('C', 8), ('H', 11), ('H', 12))","(('S', 2), ('C', 5), ('H', 6), ('D', 7))",0.0,0.0,0.0044,-0.0063,0.6153846153846154,0.6153846153846154
"(('C', 2), ('C', 3), ('S', 9), ('D', 12))","(('S', 5), ('H', 12), ('C', 12), ('D', 13))",-0.7692307692307696,0.7692307692307696,-0.7795,0.7688,0.17751479289940844,0.17751479289940844
"(('D', 2), ('C', 2), ('D', 3), ('C', 8))","(('H', 2), ('H', 9), ('S', 10), ('D', 13))",0.7692307692307696,-0.7692307692307696,0.7681,-0.7633,0.17751479289940839,0.17751479289940839
"(('H', 3), ('C', 4), ('C', 6), ('D', 12))","(('D', 6), ('C', 8), ('D', 11), ('S', 13))",0.0,0.0,-0.0016,-0.011,0.46153846153846134,0.46153846153846134
"(('C', 4), ('H', 6), ('S', 7), ('C', 8))","(('D', 2), ('C', 5), ('D', 10), ('C', 11))",0.15384615384615385,-0.15384615384615385,0.1423,-0.145,0.5917159763313612,0.5917159763313612
"(('D', 3), ('D', 6), ('D', 8), ('C', 10))","(('C', 2), ('S', 8), ('H', 9), ('S', 14))",0.0,0.0,-0.0187,0.0093,0.46153846153846134,0.46153846153846134
"(('C', 2), ('C', 5), ('H', 10), ('C', 14))","(('D', 9), ('H', 12), ('D', 12), ('C', 13))",-0.6923076923076925,0.6923076923076925,-0.7027,0.6861,0.21301775147928978,0.21301775147928978
"(('S', 10), ('D', 10), ('H', 12), ('H', 13))","(('D', 2), ('D', 4), ('S', 7), ('S', 12))",0.7692307692307696,-0.7692307692307696,0.7676,-0.768,0.17751479289940847,0.17751479289940847
"(('C', 2), ('H', 8), ('C', 10), ('D', 13))","(('C', 3), ('D', 5), ('H', 6), ('H', 10))",0.0,0.0,0.0016,0.0011,0.46153846153846134,0.46153846153846134
"(('H', 6), ('D', 8), ('C', 10), ('C', 13))","(('S', 3), ('C', 7), ('H', 11), ('D', 12))",0.0,0.0,0.01,0.0073,0.6153846153846154,0.6153846153846154
"(('S', 3), ('D', 3), ('D', 7), ('C', 9))","(('D', 2), ('C', 3), ('C', 7), ('S', 12))",0.8461538461538467,-0.8461538461538467,0.8515,-0.8449,0.13017751479289943,0.13017751479289943
"(('C', 7), ('S', 9), ('D', 11), ('C', 12))","(('S', 3), ('D', 4), ('D', 6), ('H', 12))",0.0,0.0,0.0055,-0.0101,0.46153846153846134,0.46153846153846134
"(('H', 9), ('S', 11), ('S', 14), ('H', 14))","(('S', 3), ('D', 6), ('S', 7), ('S', 13))",0.6923076923076925,-0.6923076923076925,0.6924,-0.6963,0.21301775147928978,0.21301775147928978
"(('H', 8), ('C', 9), ('S', 10), ('S', 12))","(('S', 5), ('H', 10), ('C', 10), ('D', 13))",-0.6153846153846154,0.6153846153846154,-0.6197,0.6109,0.3905325443786984,0.3905325443786984
"(('H', 2), ('H', 11), ('D', 13), ('C', 14))","(('H', 3), ('C', 7), ('D', 8), ('D', 11))",0.0,0.0,-0.0081,-0.0055,0.46153846153846134,0.46153846153846134
